battle_id,matchup,event_name,event_date,upload_date,emcee,participant_slot,participant_role,participation_status,appearance_credit,battle_credit
xOz3Ju-Oq_c,Primethugz vs Verse1,Aspakan,2012-10-06,2013-01-19 13:26:40,Primethugz,emcee1,scheduled,appeared,True,True
xOz3Ju-Oq_c,Primethugz vs Verse1,Aspakan,2012-10-06,2013-01-19 13:26:40,Verse1,emcee2,scheduled,appeared,True,True
lCayXs4D_9M,AKT vs 2khelle,Aspakan,2012-10-06,2013-01-17 06:56:45,AKT,emcee1,scheduled,appeared,True,True
lCayXs4D_9M,AKT vs 2khelle,Aspakan,2012-10-06,2013-01-17 06:56:45,2khelle,emcee2,scheduled,appeared,True,True
iTldB0VfI3c,Righteous One vs Asero,Aspakan,2012-10-06,2013-01-12 12:40:56,Righteous One,emcee1,scheduled,appeared,True,True
iTldB0VfI3c,Righteous One vs Asero,Aspakan,2012-10-06,2013-01-12 12:40:56,Asero,emcee2,scheduled,appeared,True,True
-D6mQMbL3SU,Elbiz vs Jaffie,Aspakan,2012-10-06,2013-01-09 14:15:17,Elbiz,emcee1,scheduled,appeared,True,True
-D6mQMbL3SU,Elbiz vs Jaffie,Aspakan,2012-10-06,2013-01-09 14:15:17,Jaffie,emcee2,scheduled,appeared,True,True
MajDDHKrkCQ,Dhictah vs Third D,Aspakan,2012-10-06,2013-01-05 08:21:46,Dhictah,emcee1,scheduled,appeared,True,True
MajDDHKrkCQ,Dhictah vs Third D,Aspakan,2012-10-06,2013-01-05 08:21:46,Third D,emcee2,scheduled,appeared,True,True
Kz6_joURLko,Frooz vs Jhapormz,Aspakan,2012-10-06,2013-01-02 12:16:10,Frooz,emcee1,scheduled,appeared,True,True
Kz6_joURLko,Frooz vs Jhapormz,Aspakan,2012-10-06,2013-01-02 12:16:10,Jhapormz,emcee2,scheduled,appeared,True,True
sfqTztCnbG4,Prosecutor Billy vs El D'no,Aspakan,2012-10-06,2012-12-29 12:10:08,Prosecutor Billy,emcee1,scheduled,appeared,True,True
sfqTztCnbG4,Prosecutor Billy vs El D'no,Aspakan,2012-10-06,2012-12-29 12:10:08,El D'no,emcee2,scheduled,appeared,True,True
yznjBZc2nVM,Sinio vs Rish,Aspakan,2012-10-06,2012-12-26 12:21:55,Sinio,emcee1,scheduled,appeared,True,True
yznjBZc2nVM,Sinio vs Rish,Aspakan,2012-10-06,2012-12-26 12:21:55,Rish,emcee2,scheduled,appeared,True,True
CWTEW8i6GIY,Apoc vs Sayantipiko,Aspakan,2012-10-06,2012-12-23 12:46:17,Apoc,emcee1,scheduled,appeared,True,True
CWTEW8i6GIY,Apoc vs Sayantipiko,Aspakan,2012-10-06,2012-12-23 12:46:17,Sayantipiko,emcee2,scheduled,appeared,True,True
TCax_1ve6uY,Mocks Wun vs Sparo,Aspakan,2012-10-06,2012-12-23 12:00:22,Mocks Wun,emcee1,scheduled,appeared,True,True
