id,battle_type,winner,votes_winner,votes_loser,votes_nv,votes_ot,overtime,notes
4DLJ60CgDp8,promo,NA,NA,NA,NA,NA,NA,none
4DN3rg8tPDY,judged,Tatz Maven,3,2,0,0,no,none
4E26bKTu7Fs,judged,Castillo,2,1,0,0,no,none
4EkD9bZHBKw,judged,Goriong Talas,5,0,0,0,no,none
4IKJS0fuIKA,judged,Lawrence,3,0,0,0,no,none
4PHwmSSthyo,judged,Dave Denver,3,2,0,0,no,none
4SbQCiMrVRM,judged,Jamy Sykes,5,0,0,0,no,none
4XRHLa6JA_Y,judged,Bisente,2,1,0,0,no,none
4XjH4uGirQw,judged,Shernan,5,0,0,0,no,none
4aCz9Uy2CkM,judged,KJah,5,0,0,0,no,none
4hDKK1pfx4o,judged,Bagsik,4,1,0,0,no,none
4iP-N9qMdrA,judged,Onaks,3,2,0,0,no,none
4lIEulWFdDk,judged,Lanzeta,5,0,0,0,no,none
4moYcs4NS0w,judged,Shernan,5,0,0,0,no,none
4upCrIZXSP8,judged,J-Blaque,5,0,0,0,no,none
4yAuym4jGLU,judged,Sixth Threat,7,0,0,0,no,none
4zw073EH6Vk,judged,Ban,4,1,0,0,no,none
5BiDPaDZHzo,judged,Anygma,5,0,0,0,no,none
5HHTRGt-Vc4,judged,C-Quence,5,0,0,0,no,none
5L9DAVcIqvw,judged,Saint Ice,4,3,0,0,no,none
5NfRBaZYyUA,judged,K-Ram,5,0,0,0,no,none
5QMvZIAmVZA,judged,Poison13,3,2,0,0,no,none
5THk6fd-FIY,judged,Aubrey,3,0,0,0,no,none
5WJF4ZOtsAE,judged,MastaFeat,4,1,0,0,no,none
5XJFz0DYnAw,judged,Ruffian,3,2,0,0,no,none
5gJ0NsiJF5k,judged,EJ Power,5,0,0,0,no,none
5lB7DFQsyhc,judged,Marshall Bonifacio,5,0,0,0,no,none
5mYgPAwGqf8,judged,NA,NA,NA,NA,NA,NA,Originally had 5 judges but they could not decide; it was put up to a crowd vote but ultimately ruled a draw by Anygma
5mgtcYNJki8,judged,Caytriyu,2,1,0,0,no,none
5uEyb6iA3Gw,judged,Poison13,7,0,0,0,no,none
6779WtjrhaY,judged,Zucchetto,3,0,0,0,no,none
6AifhCa39w4,judged,Kris Delano,5,0,0,0,no,none
6CT0qxiUVBk,judged,Hempphil,3,0,0,0,no,none
6G5yQvjWv1I,judged,G-Clown,4,1,0,0,no,none
6GL_xyhHccs,judged,CRhyme,3,0,0,0,no,none
6HjZ27CyX0Q,judged,Kregga,3,2,0,0,no,none
6JODJBIPTvo,judged,Cloud9,3,0,0,0,no,none
6PL2y_RN8Xk,judged,CripLi,5,0,0,0,no,none
