matchup,event_name,event_description,video_id
Tipsy D/Third D vs Thike/G-Clown,Grain Assault 4,"FlipTop Metro Manila presents: Grain Assault 4, FlipTop Anniversary, Isabuhay 2013 and Dos Por Dos 2013 @ B-Side, The Collective, Malugay Street, Makati City, Metro Manila, Philippines. February 8, 2013. Filipino Conference Battles.",bXRPR-5-CsU
Spade vs Sparo,Grain Assault 4,"FlipTop Metro Manila presents: Grain Assault 4, FlipTop Anniversary, Isabuhay 2013 and Dos Por Dos 2013 @ B-Side, The Collective, Malugay Street, Makati City, Metro Manila, Philippines. February 8, 2013. Filipino Conference Battles.",NbrLshFJ4m8
Bogchick/Yelshawn vs 2khelle/El D'no,Grain Assault 4,"FlipTop Metro Manila presents: Grain Assault 4, FlipTop Anniversary, Isabuhay 2013 and Dos Por Dos 2013 @ B-Side, The Collective, Malugay Street, Makati City, Metro Manila, Philippines. February 8, 2013. Filipino Conference Battles.",tl_nDwthYLk
BLKD vs Gin,Grain Assault 4,"FlipTop Metro Manila presents: Grain Assault 4, FlipTop Anniversary, Isabuhay 2013 and Dos Por Dos 2013 @ B-Side, The Collective, Malugay Street, Makati City, Metro Manila, Philippines. February 8, 2013. Filipino Conference Battles.",UypvEz_A2uo
Jade Wunn vs Ranieboy,Grain Assault 4,"FlipTop Metro Manila presents: Grain Assault 4, FlipTop Anniversary, Isabuhay 2013 and Dos Por Dos 2013 @ B-Side, The Collective, Malugay Street, Makati City, Metro Manila, Philippines. February 8, 2013. Filipino Conference Battles.",O18oAkffSso
Voxshox vs Mckoy,Grain Assault 4,"FlipTop Metro Manila presents: Grain Assault 4, FlipTop Anniversary, Isabuhay 2013 and Dos Por Dos 2013 @ B-Side, The Collective, Malugay Street, Makati City, Metro Manila, Philippines. February 8, 2013. Filipino Conference Battles.",FPchGalSV_4
Loonie vs Aklas,Ahon 5 (Day 2),"FlipTop Metro Manila presents: Ahon 5, Day 2 @ San Juan Gym, N. Domingo, San Juan City, Metro Manila, Philippines. December 20, 2014. Filipino Conference Battles.",x0fnpDyVm9s
Sinio vs Sak Maestro,Ahon 5 (Day 2),"FlipTop Metro Manila presents: Ahon 5, Day 2 @ San Juan Gym, N. Domingo, San Juan City, Metro Manila, Philippines. December 20, 2014. Filipino Conference Battles.",S87qsJZzGR0
Tipsy D vs J Skeelz,Ahon 5 (Day 2),"FlipTop Metro Manila presents: Ahon 5, Day 2 @ San Juan Gym, N. Domingo, San Juan City, Metro Manila, Philippines. December 20, 2014. Filipino Conference Battles.",n0ltrzxrWPQ
M Zhayt vs Asser,Ahon 5 (Day 2),"FlipTop Metro Manila presents: Ahon 5, Day 2 @ San Juan Gym, N. Domingo, San Juan City, Metro Manila, Philippines. December 20, 2014. Filipino Conference Battles.",zAR8BM4JXcI
Hearty vs Righteous1,Ahon 5 (Day 2),"FlipTop Metro Manila presents: Ahon 5, Day 2 @ San Juan Gym, N. Domingo, San Juan City, Metro Manila, Philippines. December 20, 2014. Filipino Conference Battles.",akxTbU1qwRs
Crazymix vs Damsa,Ahon 5 (Day 2),"FlipTop Metro Manila presents: Ahon 5, Day 2 @ San Juan Gym, N. Domingo, San Juan City, Metro Manila, Philippines. December 20, 2014. Filipino Conference Battles.",v-OWCCqwGyM
Romano vs Makii,Ahon 5 (Day 2),"FlipTop Metro Manila presents: Ahon 5, Day 2 @ San Juan Gym, N. Domingo, San Juan City, Metro Manila, Philippines. December 20, 2014. Filipino Conference Battles.",f6zcSqVbxAI
Omar Baliw vs Cool Kidd,Ahon 5 (Day 2),"FlipTop Metro Manila presents: Ahon 5, Day 2 @ San Juan Gym, N. Domingo, San Juan City, Metro Manila, Philippines. December 20, 2014. Filipino Conference Battles.",GbM67NUZWRA
Nikki vs Ejo,Ahon 5 (Day 2),"FlipTop Metro Manila presents: Ahon 5, Day 2 @ San Juan Gym, N. Domingo, San Juan City, Metro Manila, Philippines. December 20, 2014. Filipino Conference Battles.",mZFdsaOIajM
Batas vs Melchrist,Ahon 5 (Day 1),"FlipTop Metro Manila presents: Ahon 5, Day 1, Isabuhay 2014 Finals @ San Juan Gym, N. Domingo, San Juan City, Metro Manila, Philippines. December 19, 2014. Filipino Conference Battles.",E96ewuV_aL8
Smugglaz vs Zaito,Ahon 5 (Day 1),"FlipTop Metro Manila presents: Ahon 5, Day 1, Isabuhay 2014 Finals @ San Juan Gym, N. Domingo, San Juan City, Metro Manila, Philippines. December 19, 2014. Filipino Conference Battles.",B5XC3V3VqXQ
Frooz vs PriceTagg,Ahon 5 (Day 1),"FlipTop Metro Manila presents: Ahon 5, Day 1, Isabuhay 2014 Finals @ San Juan Gym, N. Domingo, San Juan City, Metro Manila, Philippines. December 19, 2014. Filipino Conference Battles.",3yHJfcQT57E
Pistolero vs Kregga,Ahon 5 (Day 1),"FlipTop Metro Manila presents: Ahon 5, Day 1, Isabuhay 2014 Finals @ San Juan Gym, N. Domingo, San Juan City, Metro Manila, Philippines. December 19, 2014. Filipino Conference Battles.",Al5apOaya2Y
Flict-G vs Badang,Ahon 5 (Day 1),"FlipTop Metro Manila presents: Ahon 5, Day 1, Isabuhay 2014 Finals @ San Juan Gym, N. Domingo, San Juan City, Metro Manila, Philippines. December 19, 2014. Filipino Conference Battles.",QlmLXBvMJFI
Harlem/Juan Lazy vs G-Spot/Mac T,Ahon 5 (Day 1),"FlipTop Metro Manila presents: Ahon 5, Day 1, Isabuhay 2014 Finals @ San Juan Gym, N. Domingo, San Juan City, Metro Manila, Philippines. December 19, 2014. Filipino Conference Battles.",ik7LBCNqAaI
Shernan vs Fongger,Ahon 5 (Day 1),"FlipTop Metro Manila presents: Ahon 5, Day 1, Isabuhay 2014 Finals @ San Juan Gym, N. Domingo, San Juan City, Metro Manila, Philippines. December 19, 2014. Filipino Conference Battles.",H5H4gXLOZno
Elbiz vs Andy G,Ahon 5 (Day 1),"FlipTop Metro Manila presents: Ahon 5, Day 1, Isabuhay 2014 Finals @ San Juan Gym, N. Domingo, San Juan City, Metro Manila, Philippines. December 19, 2014. Filipino Conference Battles.",oD5ywOPBnaE
Thike vs LilJohn,Ahon 5 (Day 1),"FlipTop Metro Manila presents: Ahon 5, Day 1, Isabuhay 2014 Finals @ San Juan Gym, N. Domingo, San Juan City, Metro Manila, Philippines. December 19, 2014. Filipino Conference Battles.",QRpwMRlbtNU
Kregga vs Nikki,Uprising in Davao,"FlipTop Mindanao presents: Uprising in Davao @ Sound Box Bar, Davao City, Metro Davao, Philippines. November 23, 2014. Filipino Conference Battle.",aSz8tjCaycs
Batas vs Rapido,Zoning Semifinals,"FlipTop Metro Manila presents: Zoning Semifinals, Isabuhay 2014 Semis @ Club Z/Barbaric Bar, Dr. A. Santos Avenue, Paranaque City, Metro Manila, Philippines. November 8, 2014. Filipino Conference Battles.",6ZEBxLxg4TE
Melchrist vs Kris Delano,Zoning Semifinals,"FlipTop Metro Manila presents: Zoning Semifinals, Isabuhay 2014 Semis @ Club Z/Barbaric Bar, Dr. A. Santos Avenue, Paranaque City, Metro Manila, Philippines. November 8, 2014. Filipino Conference Battles.",G3yYUEsmCDs
Damsa vs Pistolero,Zoning Semifinals,"FlipTop Metro Manila presents: Zoning Semifinals, Isabuhay 2014 Semis @ Club Z/Barbaric Bar, Dr. A. Santos Avenue, Paranaque City, Metro Manila, Philippines. November 8, 2014. Filipino Conference Battles.",clgw5UsdEfM
Romano vs Cerberus,Zoning Semifinals,"FlipTop Metro Manila presents: Zoning Semifinals, Isabuhay 2014 Semis @ Club Z/Barbaric Bar, Dr. A. Santos Avenue, Paranaque City, Metro Manila, Philippines. November 8, 2014. Filipino Conference Battles.",sJtyWySyg3M
Batang Rebelde vs Lil John,Zoning Semifinals,"FlipTop Metro Manila presents: Zoning Semifinals, Isabuhay 2014 Semis @ Club Z/Barbaric Bar, Dr. A. Santos Avenue, Paranaque City, Metro Manila, Philippines. November 8, 2014. Filipino Conference Battles.",DGriYX8qMgo
M Zhayt/Shernan vs Thike/G-Clown,Zoning Semifinals,"FlipTop Metro Manila presents: Zoning Semifinals, Isabuhay 2014 Semis @ Club Z/Barbaric Bar, Dr. A. Santos Avenue, Paranaque City, Metro Manila, Philippines. November 8, 2014. Filipino Conference Battles.",KiUJbfmqWjg
Asser vs Spade,Gubat 2,"FlipTop Visayas presents: Gubat II @ CAP Center, Osmena Blvd, Metro Cebu, Cebu, Philippines. October 18, 2014. Filipino and Bisaya Conference Battles.",1xdwg-Y170U
Andy G vs Fongger,Gubat 2,"FlipTop Visayas presents: Gubat II @ CAP Center, Osmena Blvd, Metro Cebu, Cebu, Philippines. October 18, 2014. Filipino and Bisaya Conference Battles.",xC70a4W3SCc
Aklas vs Tweng,Gubat 2,"FlipTop Visayas presents: Gubat II @ CAP Center, Osmena Blvd, Metro Cebu, Cebu, Philippines. October 18, 2014. Filipino and Bisaya Conference Battles.",LYuhXYX6P7w
Sak Maestro vs Ice Bergg,Gubat 2,"FlipTop Visayas presents: Gubat II @ CAP Center, Osmena Blvd, Metro Cebu, Cebu, Philippines. October 18, 2014. Filipino and Bisaya Conference Battles.",O3_GKWB8tj0
Blackleaf vs Makii,Gubat 2,"FlipTop Visayas presents: Gubat II @ CAP Center, Osmena Blvd, Metro Cebu, Cebu, Philippines. October 18, 2014. Filipino and Bisaya Conference Battles.",2nM5-LeGZKA
Cool Kidd vs Aelekz,Gubat 2,"FlipTop Visayas presents: Gubat II @ CAP Center, Osmena Blvd, Metro Cebu, Cebu, Philippines. October 18, 2014. Filipino and Bisaya Conference Battles.",fQQR6YN9_vY
Fangs vs Mackata,Gubat 2,"FlipTop Visayas presents: Gubat II @ CAP Center, Osmena Blvd, Metro Cebu, Cebu, Philippines. October 18, 2014. Filipino and Bisaya Conference Battles.",1xv3-I5Rmc4
Range vs Zeus,Gubat 2,"FlipTop Visayas presents: Gubat II @ CAP Center, Osmena Blvd, Metro Cebu, Cebu, Philippines. October 18, 2014. Filipino and Bisaya Conference Battles.",odPvGpKNB_8
Batas vs Rudic,Zoning Quarter Finals,"FlipTop Metro Manila presents: Zoning Quarter Finals, Isabuhay 2014 @ B-Side, The Collective, Malugay Street, Makati City, Metro Manila, Philippines. August 30, 2014. Filipino Conference Battles.",wkxxY43BrMo
Kris Delano vs Prosecutor Billy,Zoning Quarter Finals,"FlipTop Metro Manila presents: Zoning Quarter Finals, Isabuhay 2014 @ B-Side, The Collective, Malugay Street, Makati City, Metro Manila, Philippines. August 30, 2014. Filipino Conference Battles.",7zTePLcK0gE
Elbiz vs LilJohn,Zoning Quarter Finals,"FlipTop Metro Manila presents: Zoning Quarter Finals, Isabuhay 2014 @ B-Side, The Collective, Malugay Street, Makati City, Metro Manila, Philippines. August 30, 2014. Filipino Conference Battles.",0vJSKdQxlZw
Omar Baliw vs Left Eye Blind,Zoning Quarter Finals,"FlipTop Metro Manila presents: Zoning Quarter Finals, Isabuhay 2014 @ B-Side, The Collective, Malugay Street, Makati City, Metro Manila, Philippines. August 30, 2014. Filipino Conference Battles.",IQtPpzerEUw
Thike vs Badang,Zoning Quarter Finals,"FlipTop Metro Manila presents: Zoning Quarter Finals, Isabuhay 2014 @ B-Side, The Collective, Malugay Street, Makati City, Metro Manila, Philippines. August 30, 2014. Filipino Conference Battles.",T2L1xXaP8NI
M Zhayt vs Damsa,Zoning Quarter Finals,"FlipTop Metro Manila presents: Zoning Quarter Finals, Isabuhay 2014 @ B-Side, The Collective, Malugay Street, Makati City, Metro Manila, Philippines. August 30, 2014. Filipino Conference Battles.",0ALUCCfv4hw
Tipsy D vs Sinio,Aspakan 2,"FlipTop Central Luzon presents: Aspakan 2, Isabuhay 2014 @ Amphigarden/Mars Garden, St. Balibago, Angeles, Pampanga, Philippines. July 19, 2014. Filipino Conference Battles.",pVY-2Fqdum0
M Zhayt vs Pistolero,Aspakan 2,"FlipTop Central Luzon presents: Aspakan 2, Isabuhay 2014 @ Amphigarden/Mars Garden, St. Balibago, Angeles, Pampanga, Philippines. July 19, 2014. Filipino Conference Battles.",IH0zJBb9drM
Frooz vs Third D,Aspakan 2,"FlipTop Central Luzon presents: Aspakan 2, Isabuhay 2014 @ Amphigarden/Mars Garden, St. Balibago, Angeles, Pampanga, Philippines. July 19, 2014. Filipino Conference Battles.",EWSdR5xgnpM
Kris Delano vs Nico,Aspakan 2,"FlipTop Central Luzon presents: Aspakan 2, Isabuhay 2014 @ Amphigarden/Mars Garden, St. Balibago, Angeles, Pampanga, Philippines. July 19, 2014. Filipino Conference Battles.",2iPWsmUjyTI
Shernan vs Mocks Wun,Aspakan 2,"FlipTop Central Luzon presents: Aspakan 2, Isabuhay 2014 @ Amphigarden/Mars Garden, St. Balibago, Angeles, Pampanga, Philippines. July 19, 2014. Filipino Conference Battles.",khpGSHEolQE
Cerberus vs Sayantipiko,Aspakan 2,"FlipTop Central Luzon presents: Aspakan 2, Isabuhay 2014 @ Amphigarden/Mars Garden, St. Balibago, Angeles, Pampanga, Philippines. July 19, 2014. Filipino Conference Battles.",MJ3FvP8rMYM
Asero vs Jaffie,Aspakan 2,"FlipTop Central Luzon presents: Aspakan 2, Isabuhay 2014 @ Amphigarden/Mars Garden, St. Balibago, Angeles, Pampanga, Philippines. July 19, 2014. Filipino Conference Battles.",Qj1eJV9m7lc
Romano vs Harvey,Aspakan 2,"FlipTop Central Luzon presents: Aspakan 2, Isabuhay 2014 @ Amphigarden/Mars Garden, St. Balibago, Angeles, Pampanga, Philippines. July 19, 2014. Filipino Conference Battles.",lq_1doRWQhM
Melchrist vs Elbiz,Kataga 2,"FlipTop Calabarzon presents: Kataga 2, Isabuhay 2014 @ Meg'z Crib Bar and Grill, Aguinaldo Highway, Anabu 1-A, Imus, Cavite, Philippines. June 28, 2014. Filipino Conference Battles.",GI7e_lMzigQ
Andy G vs Badang,Kataga 2,"FlipTop Calabarzon presents: Kataga 2, Isabuhay 2014 @ Meg'z Crib Bar and Grill, Aguinaldo Highway, Anabu 1-A, Imus, Cavite, Philippines. June 28, 2014. Filipino Conference Battles.",xM5Z_AQzo5Y
Rapido vs Hizuka,Kataga 2,"FlipTop Calabarzon presents: Kataga 2, Isabuhay 2014 @ Meg'z Crib Bar and Grill, Aguinaldo Highway, Anabu 1-A, Imus, Cavite, Philippines. June 28, 2014. Filipino Conference Battles.",bhSOKoiEWZg
Thike vs Icaruz,Kataga 2,"FlipTop Calabarzon presents: Kataga 2, Isabuhay 2014 @ Meg'z Crib Bar and Grill, Aguinaldo Highway, Anabu 1-A, Imus, Cavite, Philippines. June 28, 2014. Filipino Conference Battles.",tw6xr3BDP-k
Batang Rebelde vs G-Clown,Kataga 2,"FlipTop Calabarzon presents: Kataga 2, Isabuhay 2014 @ Meg'z Crib Bar and Grill, Aguinaldo Highway, Anabu 1-A, Imus, Cavite, Philippines. June 28, 2014. Filipino Conference Battles.",QWH29MmaRQ8
Nerdskillz vs Hazky,Kataga 2,"FlipTop Calabarzon presents: Kataga 2, Isabuhay 2014 @ Meg'z Crib Bar and Grill, Aguinaldo Highway, Anabu 1-A, Imus, Cavite, Philippines. June 28, 2014. Filipino Conference Battles.",dwvOj-nrzPs
Omar Baliw vs K-Vill,Kataga 2,"FlipTop Calabarzon presents: Kataga 2, Isabuhay 2014 @ Meg'z Crib Bar and Grill, Aguinaldo Highway, Anabu 1-A, Imus, Cavite, Philippines. June 28, 2014. Filipino Conference Battles.",uLK1jkXal1A
Bogchick vs J-Lem,Kataga 2,"FlipTop Calabarzon presents: Kataga 2, Isabuhay 2014 @ Meg'z Crib Bar and Grill, Aguinaldo Highway, Anabu 1-A, Imus, Cavite, Philippines. June 28, 2014. Filipino Conference Battles.",pUqNl9LWwhw
LilJohn vs Damsa,Kataga 2,"FlipTop Calabarzon presents: Kataga 2, Isabuhay 2014 @ Meg'z Crib Bar and Grill, Aguinaldo Highway, Anabu 1-A, Imus, Cavite, Philippines. June 28, 2014. Filipino Conference Battles.",x5_EErMbcqw
Sinio vs G-Spot,Oro/Mata,"FlipTop Mindanao presents: Oro/Mata, Isabuhay 2014 @ Beat Club, Tiano Hayes St., Cagayan de Oro City, Misamis Oriental, Philippines. May 9, 2014. Filipino Conference Battles.",kSaHstqhkX0
Batas vs Dopee,Oro/Mata,"FlipTop Mindanao presents: Oro/Mata, Isabuhay 2014 @ Beat Club, Tiano Hayes St., Cagayan de Oro City, Misamis Oriental, Philippines. May 9, 2014. Filipino Conference Battles.",Y6vjhLIAWVc
Sak Maestro vs Sayadd,Oro/Mata,"FlipTop Mindanao presents: Oro/Mata, Isabuhay 2014 @ Beat Club, Tiano Hayes St., Cagayan de Oro City, Misamis Oriental, Philippines. May 9, 2014. Filipino Conference Battles.",3Vwg12bn99E
Apoc vs Zero Hour,Oro/Mata,"FlipTop Mindanao presents: Oro/Mata, Isabuhay 2014 @ Beat Club, Tiano Hayes St., Cagayan de Oro City, Misamis Oriental, Philippines. May 9, 2014. Filipino Conference Battles.",dxZ2UoKharc
Rudic vs Nikki,Oro/Mata,"FlipTop Mindanao presents: Oro/Mata, Isabuhay 2014 @ Beat Club, Tiano Hayes St., Cagayan de Oro City, Misamis Oriental, Philippines. May 9, 2014. Filipino Conference Battles.",jhdocKYN07s
G-Clown vs Kregga,Oro/Mata,"FlipTop Mindanao presents: Oro/Mata, Isabuhay 2014 @ Beat Club, Tiano Hayes St., Cagayan de Oro City, Misamis Oriental, Philippines. May 9, 2014. Filipino Conference Battles.",eG96pPRwD2Y
Hizuka vs Silent Effect,Oro/Mata,"FlipTop Mindanao presents: Oro/Mata, Isabuhay 2014 @ Beat Club, Tiano Hayes St., Cagayan de Oro City, Misamis Oriental, Philippines. May 9, 2014. Filipino Conference Battles.",w-stMqCduMg
Maxford/Cool Kidd vs Ran/Kaream,Oro/Mata,"FlipTop Mindanao presents: Oro/Mata, Isabuhay 2014 @ Beat Club, Tiano Hayes St., Cagayan de Oro City, Misamis Oriental, Philippines. May 9, 2014. Filipino Conference Battles.",e5g4XckKoKw
Malupet/Don Busabos vs Stiffler/Fukuda,Oro/Mata,"FlipTop Mindanao presents: Oro/Mata, Isabuhay 2014 @ Beat Club, Tiano Hayes St., Cagayan de Oro City, Misamis Oriental, Philippines. May 9, 2014. Filipino Conference Battles.",uE_UF8eUd5o
Asser vs Ejo,Gubat,"FlipTop Visayas presents: Gubat @ CAP Center, Osmena Blvd., Metro Cebu, Cebu, Philippines. April 25, 2014. Filipino and Bisaya Conference Battles.",W-w7s55c9z4
Fongger vs Batang Rebelde,Gubat,"FlipTop Visayas presents: Gubat @ CAP Center, Osmena Blvd., Metro Cebu, Cebu, Philippines. April 25, 2014. Filipino and Bisaya Conference Battles.",DxmLSvUn25A
Thike vs Makii,Gubat,"FlipTop Visayas presents: Gubat @ CAP Center, Osmena Blvd., Metro Cebu, Cebu, Philippines. April 25, 2014. Filipino and Bisaya Conference Battles.",Ghwb72kxCDc
Tweng vs Batang X,Gubat,"FlipTop Visayas presents: Gubat @ CAP Center, Osmena Blvd., Metro Cebu, Cebu, Philippines. April 25, 2014. Filipino and Bisaya Conference Battles.",hhgbmSMzYak
G-Spot/Mac T vs Lazta/Mastamine,Gubat,"FlipTop Visayas presents: Gubat @ CAP Center, Osmena Blvd., Metro Cebu, Cebu, Philippines. April 25, 2014. Filipino and Bisaya Conference Battles.",ggUu9M5IalM
Fangs vs Zeus,Gubat,"FlipTop Visayas presents: Gubat @ CAP Center, Osmena Blvd., Metro Cebu, Cebu, Philippines. April 25, 2014. Filipino and Bisaya Conference Battles.",MKVY095Hkio
Aelekz vs Range,Gubat,"FlipTop Visayas presents: Gubat @ CAP Center, Osmena Blvd., Metro Cebu, Cebu, Philippines. April 25, 2014. Filipino and Bisaya Conference Battles.",w8XCtTpakj0
Mackata vs W Beat,Gubat,"FlipTop Visayas presents: Gubat @ CAP Center, Osmena Blvd., Metro Cebu, Cebu, Philippines. April 25, 2014. Filipino and Bisaya Conference Battles.",PBbDG-XPsNM
M Zhayt vs Flipzydot1,Second Sight 2,"FlipTop Metro Manila presents: Second Sight II, Isabuhay 2014 @ B-Side, The Collective, Malugay Street, Makati City, Metro Manila, Philippines. April 11, 2014. Filipino Conference Battles.",1odPyhj--DE
Silencer vs LilJohn,Second Sight 2,"FlipTop Metro Manila presents: Second Sight II, Isabuhay 2014 @ B-Side, The Collective, Malugay Street, Makati City, Metro Manila, Philippines. April 11, 2014. Filipino Conference Battles.",Q10fQjGC55I
Shernan vs Pistolero,Second Sight 2,"FlipTop Metro Manila presents: Second Sight II, Isabuhay 2014 @ B-Side, The Collective, Malugay Street, Makati City, Metro Manila, Philippines. April 11, 2014. Filipino Conference Battles.",-NDBdz_Y2oQ
Rapido vs Spade,Second Sight 2,"FlipTop Metro Manila presents: Second Sight II, Isabuhay 2014 @ B-Side, The Collective, Malugay Street, Makati City, Metro Manila, Philippines. April 11, 2014. Filipino Conference Battles.",a--2Nwm4Wkw
Ilaya vs Left Eye Blind,Second Sight 2,"FlipTop Metro Manila presents: Second Sight II, Isabuhay 2014 @ B-Side, The Collective, Malugay Street, Makati City, Metro Manila, Philippines. April 11, 2014. Filipino Conference Battles.",FZEh1yZiS4c
Melchrist vs Maxford,Second Sight 2,"FlipTop Metro Manila presents: Second Sight II, Isabuhay 2014 @ B-Side, The Collective, Malugay Street, Makati City, Metro Manila, Philippines. April 11, 2014. Filipino Conference Battles.",9rjJ6MPp10w
Elbiz vs Aklas,Second Sight 2,"FlipTop Metro Manila presents: Second Sight II, Isabuhay 2014 @ B-Side, The Collective, Malugay Street, Makati City, Metro Manila, Philippines. April 11, 2014. Filipino Conference Battles.",xnrV0vKx9Lw
Notorious vs Prosecutor Billy,Second Sight 2,"FlipTop Metro Manila presents: Second Sight II, Isabuhay 2014 @ B-Side, The Collective, Malugay Street, Makati City, Metro Manila, Philippines. April 11, 2014. Filipino Conference Battles.",YVGlSfmFPzA
M Zhayt vs LilJohn,Process of Illumination 4,"FlipTop Metro Manila presents: Process of Illumination 4 Tryouts, B-Side, Malugay Street, Makati City, Metro Manila, Philippines. February 28, 2014. Filipino Conference Battles, Freestyle Tryouts.",bqenNtbd9O4
Asser vs Makii,Ubec Mindfields Tryouts,"FlipTop Visayas presents: Ubec Mindfields Tryouts, Koa Tree House Bar and Restaurant, Gorordo Ave, Cebu City, Metro Cebu, Visayas. February 16, 2014. Filipino Conference Battles, Freestyle Tryouts.",rTYIGpNxx08
Sinio vs Rapido,Grain Assault 5,"FlipTop Metro Manila presents: Grain Assault 5 @ B-Side, The Collective, Malugay Street, Makati City, Metro Manila, Philippines. February 7, 2014. Filipino Conference Battles.",qTO6ACFQnxs
Flict-G vs Sak Maestro,Grain Assault 5,"FlipTop Metro Manila presents: Grain Assault 5 @ B-Side, The Collective, Malugay Street, Makati City, Metro Manila, Philippines. February 7, 2014. Filipino Conference Battles.",gZ1B7eAD90Q
Sayadd vs Zero Hour,Grain Assault 5,"FlipTop Metro Manila presents: Grain Assault 5 @ B-Side, The Collective, Malugay Street, Makati City, Metro Manila, Philippines. February 7, 2014. Filipino Conference Battles.",iLo6xEvXRRA
Aklas vs Batang Rebelde,Grain Assault 5,"FlipTop Metro Manila presents: Grain Assault 5 @ B-Side, The Collective, Malugay Street, Makati City, Metro Manila, Philippines. February 7, 2014. Filipino Conference Battles.",lEJ9DVhqtY0
Thike vs Ejo,Grain Assault 5,"FlipTop Metro Manila presents: Grain Assault 5 @ B-Side, The Collective, Malugay Street, Makati City, Metro Manila, Philippines. February 7, 2014. Filipino Conference Battles.",EFYN6wiyMCA
Mocks Wun vs G-Clown,Grain Assault 5,"FlipTop Metro Manila presents: Grain Assault 5 @ B-Side, The Collective, Malugay Street, Makati City, Metro Manila, Philippines. February 7, 2014. Filipino Conference Battles.",388iaJryNbA
Spade vs Kris Delano,Grain Assault 5,"FlipTop Metro Manila presents: Grain Assault 5 @ B-Side, The Collective, Malugay Street, Makati City, Metro Manila, Philippines. February 7, 2014. Filipino Conference Battles.",6AifhCa39w4
Aklas vs Nico,Grain Assault 5,"FlipTop Metro Manila presents: Grain Assault 5 @ B-Side, The Collective, Malugay Street, Makati City, Metro Manila, Philippines. February 7, 2014. Filipino Conference Battles.",kZ5wejOOawU
Hazky vs Blackfaith,Ahon 6 (Day 3),"FlipTop Metro Manila presents: Ahon 6, Day 3, San Juan Gym, N. Domingo, San Juan City, Metro Manila, Philippines. December 13, 2015. Filipino Conference Battles.",rKTEzskZLrY
Lhipkram vs DOC Pau,Ahon 6 (Day 3),"FlipTop Metro Manila presents: Ahon 6, Day 3, San Juan Gym, N. Domingo, San Juan City, Metro Manila, Philippines. December 13, 2015. Filipino Conference Battles.",UhWHRo9OvKA
EJ Power vs El Quiel,Ahon 6 (Day 3),"FlipTop Metro Manila presents: Ahon 6, Day 3, San Juan Gym, N. Domingo, San Juan City, Metro Manila, Philippines. December 13, 2015. Filipino Conference Battles.",3eokoKdkfRw
Jonas vs Onaks,Ahon 6 (Day 3),"FlipTop Metro Manila presents: Ahon 6, Day 3, San Juan Gym, N. Domingo, San Juan City, Metro Manila, Philippines. December 13, 2015. Filipino Conference Battles.",951knu3FaAM
Poison 13 vs Crazy3ck,Ahon 6 (Day 3),"FlipTop Metro Manila presents: Ahon 6, Day 3, San Juan Gym, N. Domingo, San Juan City, Metro Manila, Philippines. December 13, 2015. Filipino Conference Battles.",5QMvZIAmVZA
Jigsaw vs Prince Rhyme,Ahon 6 (Day 3),"FlipTop Metro Manila presents: Ahon 6, Day 3, San Juan Gym, N. Domingo, San Juan City, Metro Manila, Philippines. December 13, 2015. Filipino Conference Battles.",_91hINDmHxA
Mhot vs Sibil,Ahon 6 (Day 3),"FlipTop Metro Manila presents: Ahon 6, Day 3, San Juan Gym, N. Domingo, San Juan City, Metro Manila, Philippines. December 13, 2015. Filipino Conference Battles.",1I6Ed9IWUaQ
Nico + Thike vs Maxford,Ahon 6 (Day 3),"FlipTop Metro Manila presents: Ahon 6, Day 3, San Juan Gym, N. Domingo, San Juan City, Metro Manila, Philippines. December 13, 2015. Filipino Conference Battles.",CoGBvfTVOzA
Loonie vs Shehyee,Ahon 6 (Day 2),"FlipTop Metro Manila presents: Ahon 6, Day 2, San Juan Gym, N. Domingo, San Juan City, Metro Manila, Philippines. December 12, 2015. Filipino Conference Battles.",APNkS_Yh6FA
Abra vs Aklas,Ahon 6 (Day 2),"FlipTop Metro Manila presents: Ahon 6, Day 2, San Juan Gym, N. Domingo, San Juan City, Metro Manila, Philippines. December 12, 2015. Filipino Conference Battles.",STeBG-LSy94
Frooz vs Asser,Ahon 6 (Day 2),"FlipTop Metro Manila presents: Ahon 6, Day 2, San Juan Gym, N. Domingo, San Juan City, Metro Manila, Philippines. December 12, 2015. Filipino Conference Battles.",4A7s-DcqbO8
Apekz vs Righteous1,Ahon 6 (Day 2),"FlipTop Metro Manila presents: Ahon 6, Day 2, San Juan Gym, N. Domingo, San Juan City, Metro Manila, Philippines. December 12, 2015. Filipino Conference Battles.",UoheaN0Q6fM
Elbiz vs Badang,Ahon 6 (Day 2),"FlipTop Metro Manila presents: Ahon 6, Day 2, San Juan Gym, N. Domingo, San Juan City, Metro Manila, Philippines. December 12, 2015. Filipino Conference Battles.",apJQez_V6-Q
Pistolero vs Andy G,Ahon 6 (Day 2),"FlipTop Metro Manila presents: Ahon 6, Day 2, San Juan Gym, N. Domingo, San Juan City, Metro Manila, Philippines. December 12, 2015. Filipino Conference Battles.",chSqZvbAcqs
M Zhayt vs Spade,Ahon 6 (Day 2),"FlipTop Metro Manila presents: Ahon 6, Day 2, San Juan Gym, N. Domingo, San Juan City, Metro Manila, Philippines. December 12, 2015. Filipino Conference Battles.",NQzddAr3eUM
