id,emcee1,emcee2,helper_emcee,emcee1_status,emcee2_status,helper_status,note
Um2XyeCDEew,Makii,Fongger,Aelekz,appeared,no_show,appeared,no-show title Aelekz + Makii vs Fongger
CoGBvfTVOzA,Thike,Maxford,Nico,appeared,no_show,appeared,no-show title Nico + Thike vs Maxford (Audio)
YHLut41dCG8,Rapido,Romano,LilJohn,appeared,no_show,appeared,no-show title Rapido + LilJohn vs Romano
IO6AaGSupuY,NA,NA,NA,NA,NA,NA,no-show title Jamal + Nico vs Rickrock; excluded because it took place in a Process of Illumination event
pib1VW3SELA,Sak Maestro,Fongger,Zaito,appeared,no_show,appeared,no-show title Zaito + Sak Maestro vs Fongger
